epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,32.0744,1.43662,2.09195,1.29452,0.21298,0.20238,0.17773,0.06782,1.89681,2.53193,1.53798,0.0004456,0.0004456,0.0004456
58,32.655,1.50759,2.15081,1.31036,0.21298,0.20238,0.17773,0.06782,1.89681,2.53193,1.53798,0.0004357,0.0004357,0.0004357
59,33.2377,1.482,2.21303,1.31922,0.21298,0.20238,0.17773,0.06782,1.89681,2.53193,1.53798,0.0004258,0.0004258,0.0004258
60,33.8303,1.61143,2.19444,1.30929,0.21298,0.20238,0.17773,0.06782,1.89681,2.53193,1.53798,0.0004159,0.0004159,0.0004159
61,34.4214,1.4579,2.12277,1.27045,0.21298,0.20238,0.17773,0.06782,1.89681,2.53193,1.53798,0.000406,0.000406,0.000406
62,35.0094,1.54176,2.30054,1.30172,0.21298,0.20238,0.17773,0.06782,1.89681,2.53193,1.53798,0.0003961,0.0003961,0.0003961
63,35.6004,1.59639,2.23483,1.37829,0.21298,0.20238,0.17773,0.06782,1.89681,2.53193,1.53798,0.0003862,0.0003862,0.0003862
64,36.189,1.47455,2.13234,1.27868,0.21298,0.20238,0.17773,0.06782,1.89681,2.53193,1.53798,0.0003763,0.0003763,0.0003763
65,36.8013,1.43004,2.08257,1.28892,0.21298,0.20238,0.17773,0.06782,1.89681,2.53193,1.53798,0.0003664,0.0003664,0.0003664
66,37.3925,1.54623,2.21383,1.29976,0.21298,0.20238,0.17773,0.06782,1.89681,2.53193,1.53798,0.0003565,0.0003565,0.0003565
67,38.0064,1.5252,2.08613,1.30969,0.21298,0.20238,0.17773,0.06782,1.89681,2.53193,1.53798,0.0003466,0.0003466,0.0003466
68,38.6011,1.51473,2.20931,1.26646,0.21298,0.20238,0.17773,0.06782,1.89681,2.53193,1.53798,0.0003367,0.0003367,0.0003367
69,39.1772,1.46455,2.1763,1.28326,0.21298,0.20238,0.17773,0.06782,1.89681,2.53193,1.53798,0.0003268,0.0003268,0.0003268
70,39.7729,1.62579,2.252,1.32831,0.21298,0.20238,0.17773,0.06782,1.89681,2.53193,1.53798,0.0003169,0.0003169,0.0003169
71,40.3825,1.56493,2.429,1.35092,0.21298,0.20238,0.17773,0.06782,1.89681,2.53193,1.53798,0.000307,0.000307,0.000307
72,41.0048,1.54101,2.11599,1.31155,0.28556,0.2619,0.23026,0.09136,1.9448,2.31724,1.57593,0.0002971,0.0002971,0.0002971
73,41.6339,1.5148,1.93909,1.30782,0.28556,0.2619,0.23026,0.09136,1.9448,2.31724,1.57593,0.0002872,0.0002872,0.0002872
74,42.2285,1.41037,1.96521,1.27188,0.28556,0.2619,0.23026,0.09136,1.9448,2.31724,1.57593,0.0002773,0.0002773,0.0002773
75,42.824,1.40553,2.03868,1.26222,0.28556,0.2619,0.23026,0.09136,1.9448,2.31724,1.57593,0.0002674,0.0002674,0.0002674
76,43.4286,1.4327,2.16589,1.26653,0.28556,0.2619,0.23026,0.09136,1.9448,2.31724,1.57593,0.0002575,0.0002575,0.0002575
77,44.0162,1.69512,2.2217,1.33739,0.28556,0.2619,0.23026,0.09136,1.9448,2.31724,1.57593,0.0002476,0.0002476,0.0002476
78,44.5861,1.4887,2.25144,1.35963,0.28556,0.2619,0.23026,0.09136,1.9448,2.31724,1.57593,0.0002377,0.0002377,0.0002377
79,45.1646,1.55486,2.11487,1.29369,0.28556,0.2619,0.23026,0.09136,1.9448,2.31724,1.57593,0.0002278,0.0002278,0.0002278
80,45.7598,1.48453,2.15215,1.30446,0.28556,0.2619,0.23026,0.09136,1.9448,2.31724,1.57593,0.0002179,0.0002179,0.0002179
81,46.3424,1.54035,2.03071,1.27815,0.28556,0.2619,0.23026,0.09136,1.9448,2.31724,1.57593,0.000208,0.000208,0.000208
82,46.947,1.3842,1.96346,1.18801,0.28556,0.2619,0.23026,0.09136,1.9448,2.31724,1.57593,0.0001981,0.0001981,0.0001981
83,47.5289,1.3782,2.09295,1.21474,0.28556,0.2619,0.23026,0.09136,1.9448,2.31724,1.57593,0.0001882,0.0001882,0.0001882
84,48.1182,1.32191,1.91734,1.22561,0.28556,0.2619,0.23026,0.09136,1.9448,2.31724,1.57593,0.0001783,0.0001783,0.0001783
85,48.7207,1.32411,1.95555,1.22737,0.28556,0.2619,0.23026,0.09136,1.9448,2.31724,1.57593,0.0001684,0.0001684,0.0001684
86,49.3116,1.37219,1.96347,1.20971,0.28556,0.2619,0.23026,0.09136,1.9448,2.31724,1.57593,0.0001585,0.0001585,0.0001585
87,49.917,1.34471,1.98324,1.24095,0.28556,0.2619,0.23026,0.09136,1.9448,2.31724,1.57593,0.0001486,0.0001486,0.0001486
88,50.5356,1.40532,1.91889,1.25985,0.40494,0.24603,0.24972,0.09968,1.94266,2.25083,1.55437,0.0001387,0.0001387,0.0001387
89,51.1532,1.45874,2.06551,1.29987,0.40494,0.24603,0.24972,0.09968,1.94266,2.25083,1.55437,0.0001288,0.0001288,0.0001288
90,51.7452,1.42961,1.89309,1.29224,0.40494,0.24603,0.24972,0.09968,1.94266,2.25083,1.55437,0.0001189,0.0001189,0.0001189
91,52.81,1.42515,1.90573,1.23239,0.40494,0.24603,0.24972,0.09968,1.94266,2.25083,1.55437,0.000109,0.000109,0.000109
92,53.4943,1.3788,1.95473,1.21685,0.40494,0.24603,0.24972,0.09968,1.94266,2.25083,1.55437,9.91e-05,9.91e-05,9.91e-05
93,54.1728,1.29051,1.84561,1.17633,0.40494,0.24603,0.24972,0.09968,1.94266,2.25083,1.55437,8.92e-05,8.92e-05,8.92e-05
94,54.825,1.29707,1.81843,1.17875,0.40494,0.24603,0.24972,0.09968,1.94266,2.25083,1.55437,7.93e-05,7.93e-05,7.93e-05
95,55.3993,1.39282,2.06457,1.25686,0.40494,0.24603,0.24972,0.09968,1.94266,2.25083,1.55437,6.94e-05,6.94e-05,6.94e-05
96,55.9817,1.57573,2.10723,1.29304,0.40494,0.24603,0.24972,0.09968,1.94266,2.25083,1.55437,5.95e-05,5.95e-05,5.95e-05
97,56.5717,1.2525,1.85343,1.19305,0.40494,0.24603,0.24972,0.09968,1.94266,2.25083,1.55437,4.96e-05,4.96e-05,4.96e-05
98,57.1894,1.30467,1.82175,1.18304,0.40494,0.24603,0.24972,0.09968,1.94266,2.25083,1.55437,3.97e-05,3.97e-05,3.97e-05
99,57.7883,1.29996,1.88972,1.19102,0.40494,0.24603,0.24972,0.09968,1.94266,2.25083,1.55437,2.98e-05,2.98e-05,2.98e-05
100,58.3907,1.35036,1.84979,1.19814,0.40494,0.24603,0.24972,0.09968,1.94266,2.25083,1.55437,1.99e-05,1.99e-05,1.99e-05
